43 0.692728  0.728671  0.555113  0.831775
43.1 0.762131  0.655755  0.635379  0.7722
43.2 0.823896  0.576263  0.709296  0.704911
43.3 0.877403  0.490992  0.776126  0.630578
43.4 0.922115  0.400797  0.835202  0.549944
43.5 0.957584  0.306581  0.885932  0.463816
43.6 0.983454  0.20929  0.92781  0.373053
43.7 0.999466  0.109898  0.960418  0.278563
43.8 1.00546  0.00940208  0.98343  0.181289
43.9 1.00137  -0.0911908  0.996616  0.0822043
44 0.987246  -0.190872  0.999843  -0.0177019
44.1 0.963222  -0.288642  0.993081  -0.117431
44.2 0.929542  -0.383521  0.976396  -0.215987
44.3 0.886542  -0.474558  0.949956  -0.312385
44.4 0.834653  -0.560839  0.914023  -0.405662
44.5 0.774396  -0.6415  0.868958  -0.494885
44.6 0.706374  -0.715732  0.815211  -0.579164
44.7 0.631269  -0.782791  0.753318  -0.657656
44.8 0.549834  -0.842004  0.683899  -0.729577
44.9 0.462884  -0.892778  0.607646  -0.794208
45 0.371292  -0.934602  0.525322  -0.850904
45.1 0.275975  -0.967058  0.437749  -0.899097
45.2 0.17789  -0.98982  0.345802  -0.938307
45.3 0.0780181  -1.00266  0.2504  -0.968142
45.4 -0.022638  -1.00545  0.152496  -0.988304
45.5 -0.12307  -0.998158  0.0530685  -0.998591
45.6 -0.22227  -0.98086  -0.0468893  -0.9989
45.7 -0.319245  -0.953729  -0.146379  -0.989229
45.8 -0.413021  -0.917036  -0.244405  -0.969673
45.9 -0.50266  -0.871148  -0.33999  -0.940429
46 -0.587261  -0.816527  -0.432178  -0.901788
46.1 -0.665978  -0.753718  -0.520047  -0.854137
46.2 -0.73802  -0.683351  -0.602721  -0.797952
46.3 -0.802665  -0.606133  -0.679372  -0.733794
46.4 -0.859265  -0.522836  -0.749235  -0.662304
46.5 -0.907252  -0.434295  -0.811612  -0.584197
46.6 -0.946145  -0.341398  -0.86588  -0.500252
46.7 -0.975554  -0.245077  -0.911496  -0.411309
46.8 -0.995184  -0.146296  -0.948005  -0.318257
46.9 -1.00484  -0.046046  -0.975041  -0.222024
47 -1.00442  0.054668  -0.992335  -0.123573
47.1 -0.993929  0.154836  -0.999715  -0.0238875
47.2 -0.973476  0.253455  -0.997105  0.0760367
47.3 -0.943263  0.349536  -0.984533  0.175201
47.4 -0.903593  0.442114  -0.962123  0.272615
47.5 -0.854864  0.530263  -0.9301  0.367305
47.6 -0.797563  0.613098  -0.888784  0.458325
47.7 -0.732266  0.689789  -0.838588  0.544766
47.8 -0.659625  0.759566  -0.780013  0.625764
47.9 -0.580371  0.821731  -0.713644  0.700509
48 -0.495296  0.87566  -0.640144  0.768255
48.1 -0.405253  0.920811  -0.560249  0.828324
48.2 -0.311146  0.956732  -0.474755  0.880118
48.3 -0.213917  0.983063  -0.384518  0.923117
48.4 -0.114541  0.999539  -0.29044  0.956893
48.5 -0.0140144  1.006  -0.193459  0.981108
48.6 0.0866552  1.00237  -0.0945447  0.995521
48.7 0.186459  0.98869  0.00531384  0.999986
48.8 0.284395  0.965101  0.105119  0.99446
48.9 0.379483  0.931836  0.203874  0.978997
49 0.47077  0.889228  0.300593  0.953753
49.1 0.557339  0.837705  0.394307  0.918979
49.2 0.638322  0.777783  0.484082  0.875023
49.3 0.712909  0.710061  0.56902  0.822324
49.4 0.780351  0.63522  0.648273  0.761408
49.5 0.839971  0.554009  0.721048  0.692885
49.6 0.891172  0.467242  0.786619  0.617439
49.7 0.93344  0.375789  0.84433  0.535823
49.8 0.966352  0.280566  0.893605  0.448854
49.9 0.989577  0.182528  0.933951  0.3574
